2a	445.33847,488.9562;445.33847,491.11245;447.30722,492.48745;450.61972,494.42495;450.83847,495.98745;448.86972,496.5812;445.74472,497.17495;445.74472,498.5187;446.90097,499.7062;447.11972,503.61245;451.40097,504.98745;452.96347,505.36245;454.33847,507.5187;453.36972,508.8937;451.80722,509.4562;450.61972,511.61245;449.46347,512.98745;450.02597,516.48745;452.96347,516.29995;453.74472,516.8937;456.49472,515.5187;457.27597,516.29995;455.90097,519.23745;457.27597,520.61245;454.93222,522.36245;453.36972,525.86245;457.65097,526.86245;463.71347,527.42495;461.18222,530.36245;461.18222,530.36245;459.99289,529.90364;459.46347,530.1437;459.44782,530.15141;459.41536,530.16589;459.40097,530.17495;459.39647,530.17828;459.37406,530.20271;459.36972,530.2062;459.36553,530.20986;459.34249,530.23363;459.33847,530.23745;459.33478,530.24161;459.31073,530.26437;459.30722,530.2687;459.30054,530.27771;459.28192,530.29022;459.27597,530.29995;459.27319,530.30499;459.27856,530.32597;459.27597,530.3312;459.27118,530.34203;459.24871,530.38211;459.24472,530.3937;459.24293,530.39969;459.2463,530.41876;459.24472,530.42495;459.24199,530.43772;459.21532,530.47387;459.21347,530.48745;459.21207,530.50144;459.21394,530.53512;459.21347,530.54995;459.21348,531.52651;457.86972,533.8937;457.86972,533.8937;459.80722,536.0187;463.33847,538.17495;469.96347,539.92495;471.90097,540.7062;473.68222,541.48745;472.49472,543.6437;475.61972,543.4562;476.21347,544.8312;479.33847,544.8312;480.11972,541.11245;478.15097,540.7062;480.90097,537.79995;479.93222,536.79995;480.11972,535.04995;483.65097,533.11245;483.83847,530.9562;481.49472,530.7687;479.93222,532.11245;479.93222,530.17495;483.05722,529.98745;484.02597,527.6437;484.80722,520.79995;484.21347,517.86245;484.15097,515.04995;480.74472,517.29995;476.68222,517.4562;476.33847,514.6437;476.86972,513.92495;475.61972,513.04995;475.27597,508.2687;474.74472,507.3937;472.61972,507.3937;471.55722,506.5187;471.55722,503.1437;470.15097,502.2687;469.08847,501.73745;466.96347,499.0812;467.11972,497.48745;464.49472,497.48745;463.58847,494.8312;459.86972,494.8312;457.93222,492.17495;458.46347,491.29995;457.24472,490.5812;454.40097,491.11245;453.33847,490.42495;449.46347,490.42495;449.08847,489.36245;446.90097,488.9562;445.33847,488.9562
2b	477.96347,449.8937;475.02597,451.86245;475.43222,453.79995;476.99472,455.7687;475.24472,457.11245;476.02597,458.67495;474.83847,460.04995;474.83847,461.79995;476.80722,463.5812;476.80722,466.29995;475.61972,468.8312;474.27597,469.42495;472.71347,467.2687;469.96347,467.48745;469.36972,467.0812;467.02597,467.0812;464.90097,469.04995;464.08847,472.36245;459.02597,473.3312;455.11972,476.6437;454.33847,478.79995;452.40097,478.61245;451.40097,477.42495;450.83847,480.7687;449.46347,481.3312;449.05722,484.4562;449.65097,485.8312;447.49472,487.3937;446.90097,488.9562;449.08847,489.36245;449.46347,490.42495;453.33847,490.42495;454.40097,491.11245;457.24472,490.5812;458.46347,491.29995;457.93222,492.17495;459.86972,494.8312;463.58847,494.8312;464.49472,497.48745;467.11972,497.48745;466.96347,499.0812;469.08847,501.73745;470.15097,502.2687;471.55722,503.1437;471.55722,506.5187;472.61972,507.3937;474.74472,507.3937;475.27597,508.2687;475.61972,513.04995;476.86972,513.92495;476.33847,514.6437;476.68222,517.4562;480.74472,517.29995;484.15097,515.04995;484.02597,509.2687;488.71347,502.6437;488.71347,491.7062;486.77597,487.98745;486.18222,476.2687;484.80722,474.11245;482.27597,472.17495;481.86972,464.92495;483.05722,461.61245;481.49472,456.3312;480.52597,452.04995;479.71347,450.86245;477.96347,449.8937
13	379.71875,409.90625;374.25,413.03125;372.84375,423.53125;367.0625,422.71875;365.40625,427.125;366.78125,429.0625;360.4375,432.9375;358.6875,437;364.875,437.28125;373.09375,437.875;374.65625,439.4375;371.71875,439.4375;369.78125,442.75;378.15625,444.5;384.8125,443.34375;381.28125,440;383.625,438.0625;387.34375,439.625;389.09375,443.34375;400.25,443.53125;403.15625,442.34375;403.75,444.125;400.625,446.84375;404.9375,447.03125;404.15625,449;402.96875,450.375;412.53125,450.375;417.21875,451.9375;417.6875,452.5625;417.875,448.6875;419.28125,447.09375;421.0625,446.03125;420.875,444.96875;419.46875,443.5625;418.0625,443.5625;417.15625,442.5;418.75,441.0625;418.75,440.53125;417,439.65625;417,438.25;420.875,438.4375;421.78125,437.71875;418.40625,434.53125;418.59375,430.8125;416.46875,429.0625;418.21875,425.53125;422.46875,422.6875;419.28125,420.5625;417,422.34375;411.6875,423.5625;407.4375,423.03125;399.84375,419.875;395.25,420.03125;391.375,418.28125;389.9375,416.3125;386.9375,412.96875;379.875,409.96875;379.71875,409.90625
84	387,381.34375;384.25,381.5625;382.125,384.875;382.6875,388.375;386,388.78125;385.4375,390.34375;382.875,390.53125;379.96875,393.46875;379.1875,392.5;379.75,388.59375;378.59375,387.21875;373.3125,388;372.28125,390.09375;372.84375,390.40625;376.15625,395.90625;376.15625,400.34375;381.96875,406.125;381.96875,408.625;379.71875,409.90625;379.875,409.96875;386.9375,412.96875;389.9375,416.3125;391.375,418.28125;395.25,420.03125;399.84375,419.875;407.4375,423.03125;411.6875,423.5625;417,422.34375;419.1875,420.625;419.46875,419.15625;415.40625,414.5625;410.96875,414.5625;410.96875,412.96875;412.5625,411.1875;412.5625,409.25;409.03125,407.5;408.6875,404.65625;410.625,403.78125;410.625,401.3125;408.5,400.9375;408.34375,398.28125;408.3125,398.09375;406.53125,397.96875;403.59375,395.8125;402.8125,393.28125;397.34375,392.875;393.25,392.5;392.84375,390.15625;394.21875,387.21875;391.6875,389.375;387.78125,388.96875;387,387.59375;389.71875,383.90625;387,381.34375
83	457.78125,413.1875;454.8125,413.3125;453.40625,414.75;448.09375,414.5625;443.5,417.90625;440.34375,415.78125;435.375,417.375;434.5,419.15625;430.96875,421.8125;424.59375,417.5625;419.4375,419.25;419.1875,420.625;419.28125,420.5625;422.46875,422.6875;418.21875,425.53125;416.46875,429.0625;418.59375,430.8125;418.40625,434.53125;421.78125,437.71875;420.875,438.4375;417,438.25;417,439.65625;418.75,440.53125;418.75,441.0625;417.15625,442.5;418.0625,443.5625;419.46875,443.5625;420.875,444.96875;421.0625,446.03125;419.28125,447.09375;417.875,448.6875;417.6875,452.5625;418.21875,453.28125;421.71875,454.84375;422.6875,458.75;424.84375,459.15625;426.8125,457.78125;430.3125,455.625;436.375,456.21875;436.1875,457.78125;434.21875,458.75;438.90625,458.96875;437.75,457.78125;437.34375,455.25;439.875,453.5;442.8125,454.46875;444,454.84375;444.96875,456.03125;446.34375,455.0625;446.71875,452.5;448.28125,451.15625;452.375,451.15625;453.5625,449.375;456.28125,450.15625;459.40625,448.8125;459.40625,443.71875;455.3125,443.90625;458.4375,441.96875;460,439.8125;460.40625,436.6875;466.0625,435.90625;469.21875,432.375;467.03125,430.125;467.03125,428.875;465.96875,427.8125;467.375,426.59375;467.03125,424.625;464.71875,423.75;463.5,423.75;461.375,421.625;461,417.90625;458.71875,416.84375;456.40625,416.6875;455.53125,414.5625;457.78125,413.1875
04	463.84375,364.34375;461.71875,367.53125;458.71875,369.3125;457.65625,371.4375;455,371.59375;455,373.53125;454.28125,374.59375;453.21875,377.25;446.875,377.09375;443.875,375.5;441.90625,376.90625;438.21875,376.71875;437.3125,377.96875;438.21875,377.96875;438.75,381.3125;437.84375,381.6875;434.5,379.5625;434.5,378.3125;432.5625,376.71875;431.5,376.71875;431.5,378.5;429.90625,378.84375;426.53125,380.78125;424.40625,384.34375;423.875,386.09375;425.125,386.4375;425.3125,389.28125;424.0625,389.28125;422.125,387.5;421.0625,387.6875;421.59375,389.28125;424.59375,392.625;422.65625,393.34375;421.25,392.46875;417.6875,392.46875;414.6875,395.28125;414.65625,395.25;414.53125,396.40625;413.375,395.03125;411.8125,393.65625;410.8125,396.59375;409.0625,398.15625;408.3125,398.09375;408.34375,398.28125;408.5,400.9375;410.625,401.3125;410.625,403.78125;408.6875,404.65625;409.03125,407.5;412.5625,409.25;412.5625,411.1875;410.96875,412.96875;410.96875,414.5625;415.40625,414.5625;419.46875,419.15625;419.4375,419.25;424.59375,417.5625;430.96875,421.8125;434.5,419.15625;435.375,417.375;440.34375,415.78125;443.5,417.90625;448.09375,414.5625;453.40625,414.75;454.8125,413.3125;457.78125,413.1875;457.84375,413.15625;457.125,411.375;458,410.3125;457.65625,408.90625;460.46875,408.90625;461.1875,408.03125;463.84375,406.59375;465.96875,408.03125;467.375,407.125;464.03125,404.125;460.46875,400.78125;459.25,400.40625;459.0625,397.75;456.9375,394.59375;457.65625,390;458.71875,387.5;460.65625,385.90625;460.84375,383.4375;463.5,382.03125;463.90625,381.875;463.90625,378.09375;466.65625,377.71875;465.09375,376.34375;463.125,375.75;462.15625,373.21875;462.9375,371.46875;466.4375,367.75;465.875,365;466.375,364.46875;463.84375,364.34375
06	463.90625,381.875;463.5,382.03125;460.84375,383.4375;460.65625,385.90625;458.71875,387.5;457.65625,390;456.9375,394.59375;459.0625,397.75;459.25,400.40625;460.46875,400.78125;464.03125,404.125;467.375,407.125;465.96875,408.03125;463.84375,406.59375;461.1875,408.03125;460.46875,408.90625;457.65625,408.90625;458,410.3125;457.125,411.375;457.84375,413.15625;455.53125,414.5625;456.40625,416.6875;458.71875,416.84375;461,417.90625;461.375,421.625;463.5,423.75;464.71875,423.75;467.03125,424.625;467.375,426.59375;465.96875,427.8125;467.03125,428.875;467.03125,430.125;469.21875,432.375;469.375,432.1875;469.5625,427.71875;473.46875,428.5;474.84375,426.71875;476.8125,427.125;477,421.0625;481.5,420.6875;485.40625,417.15625;488.90625,417.15625;489.09375,415;492.625,412.875;490.65625,408.375;493.59375,405.84375;493,402.90625;497.3125,401.53125;498.46875,397.25;497.90625,394.3125;496.90625,392.5625;496.125,390;493.21875,390.21875;484.03125,393.53125;481.09375,393.53125;476.03125,389.4375;470.9375,388.0625;468,388.0625;468,384.53125;463.90625,382;463.90625,381.875
05	447.34375,339.15625;445.59375,339.9375;445.1875,342.875;441.6875,343.28125;441.09375,340.53125;439.9375,339.375;436.40625,339.75;435.03125,340.9375;434.25,345.03125;434.84375,346;438.9375,346.40625;439.71875,348.9375;441.28125,349.71875;441.28125,354;437.5625,353.8125;436,355.5625;431.53125,354.78125;429,356.9375;427.21875,356.15625;424.6875,358.125;425.65625,359.875;424.09375,361.4375;419.21875,361.4375;419.21875,363.78125;420.78125,364.5625;420.1875,365.9375;416.875,367.28125;412.78125,367.6875;411.59375,371.40625;411.40625,373.75;413.5625,375.5;411.40625,378.03125;408.6875,376.65625;405.5625,376.46875;405.15625,378.21875;407.125,379.59375;404.75,381.15625;405.5625,384.46875;412.1875,386.25;413.375,388.78125;415.3125,389.15625;414.65625,395.25;414.6875,395.28125;417.6875,392.46875;421.25,392.46875;422.65625,393.34375;424.59375,392.625;421.59375,389.28125;421.0625,387.6875;422.125,387.5;424.0625,389.28125;425.3125,389.28125;425.125,386.4375;423.875,386.09375;424.40625,384.34375;426.53125,380.78125;429.90625,378.84375;431.5,378.5;431.5,376.71875;432.5625,376.71875;434.5,378.3125;434.5,379.5625;437.84375,381.6875;438.75,381.3125;438.21875,377.96875;437.3125,377.96875;438.21875,376.71875;441.90625,376.90625;443.875,375.5;446.875,377.09375;453.21875,377.25;454.28125,374.59375;455,373.53125;455,371.59375;457.65625,371.4375;458.71875,369.3125;461.71875,367.53125;463.84375,364.34375;466.375,364.46875;468.21875,362.46875;470.34375,362.65625;470.34375,360.90625;467.625,359.53125;467.03125,353.875;464.875,353.09375;462.15625,353.5;457.0625,350.9375;456.28125,345.09375;453.375,344.125;452.375,342.15625;451.09375,339.34375;447.34375,339.15625
48	320.78125,352.25;315.3125,354.21875;313.75,357.71875;310.25,355.375;307.5,363.96875;304.6875,370.4375;308.78125,375.46875;308.5,379.34375;311.25,381.28125;311.25,385.96875;312.09375,392.59375;315.40625,394;315.125,396.1875;319.8125,395.375;321.46875,396.1875;320.4375,397.09375;326.46875,401.125;331.625,400.0625;332.5,398.8125;331.78125,397.0625;333.90625,396.53125;336.90625,399.34375;342.03125,399.875;344.34375,396.34375;344.34375,393.34375;345.75,391.75;344.5,391.40625;344.5,387.34375;341.6875,384.34375;344,383.96875;345.21875,382.90625;346.1875,381.03125;345.21875,380.4375;345.78125,376.3125;342.46875,372.71875;341.09375,365.53125;336.125,359.1875;332.5,360.0625;331.71875,357.34375;329.75,357.34375;329.375,359.6875;324.3125,361.25;320.78125,352.25
03	301.625,247.96875;298.90625,251.46875;297.34375,251.65625;295.59375,253.4375;293.625,251.28125;288.375,256.5625;288.375,259.6875;289.34375,260.46875;289.53125,262.03125;286.8125,264.15625;284.25,263.375;279.375,264.375;276.84375,267.28125;275.90625,269.28125;276.0625,269.25;278.40625,272.5625;278.40625,274.90625;279.75,276.65625;281.125,274.90625;282.6875,277.65625;284.84375,278.4375;287,283.5;287.09375,284.96875;290.0625,287.28125;291.65625,286.5625;292.90625,283.5625;294.125,283.21875;294.125,281.625;296.25,281.4375;296.4375,282.5;299.09375,279.5;302.09375,279.5;302.625,280.5625;301.21875,282.5;303.3125,284.8125;303.6875,286.21875;308.625,289.0625;314.625,289.9375;316.40625,289.75;319.0625,290.28125;321.34375,288.875;323.125,289.75;323.46875,292.21875;325.78125,292.75;328.78125,292.59375;329.65625,294.71875;332.40625,295.8125;332.5,294.84375;337.1875,294.625;336.8125,283.5;335.4375,280.78125;336,278.625;339.25,278.0625;339.34375,277.84375;343.4375,274.71875;343.625,267.09375;342.25,265.15625;339.125,265.15625;337.96875,263.59375;334.65625,263.59375;333.6875,262.40625;333.6875,259.46875;329.75,252.0625;327.8125,250.6875;324.09375,255.78125;322.53125,256.15625;321.9375,253.625;320.1875,252.84375;319.40625,254.40625;316.5,254.40625;316.09375,252.65625;314.125,253.8125;312,255;309.65625,252.4375;306.3125,250.875;306.125,248.34375;301.625,247.96875
