FxProNews	143596836	
twinews7	128208826	
BB7777777_FX	150173996	
ZAiFX	107873122	
Why_We_Do_That	105408056	
CTFX_NEWS	115334860	
MONEXFX_JP	232041447	
skyemperor	32818127	
yuwonowhy	2604764	
unwaterdpac	230728416	
TheSquareMile	9430731	
simaoforex	26576614	
michaelhewson	5064249	
Wittykung	209032566	
unictunis	23633772	
Interestingkung	417730739	
parksol	24059796	
Techslut	53739435	
ame_finance	7490982	
ruangkota	411583540	
shooky	1076918	
Por_Atitaya	381792621	
allweil	112177328	
insushop_kr	191705195	
glothkom	3562982	
City4All	31884907	
Fundchilemas	110250498	
_business_money	403173521	
OECD	1790239	
UnescoIHE	3887314	
SMART_facility	161141615	
jwerthein	25324056	
k_juken	372583563	
alidapham	523465	
CarryCandy	26321226	
DPP50	8098565	
Emma880316	156058399	
chrisajbrown	224939430	
takiant	133477545	
graygoods	120941647	
AlanMBevin	39349996	
EUROCITIEStweet	406836206	
urbantweetUK	358794906	
john_quinn_	178002416	
CCFarre	66130083	
mfukar	22986227	
WorkFoundation	71734342	
Santa_EvE	209128018	
Voice_TV	104672467	
thesspirit	120930618	
hongyd81	191224086	
lamprosg	229528010	
heehee21	25949054	
Antinema	290793904	
hlrespect	235176948	
ad_judicium	286369406	
REDINNsrl	352111721	
Imma____	219672030	
Dr_Yut	178211801	
EENNORTHEAST	79805543	
hanby01	272282677	
ezcooler	26074566	
piff01	188786221	
happygreen1	33449328	
jchbae	28984560	
FutureForAll	57390604	
ACJSissons	175524824	
heidy_tri	114343190	
OECDObserver	356546572	
GlobalHlthUNSW	29130674	
AskerovNicat	411180544	
Global_Updaid	79508885	
TeresaFogelberg	112695401	
choseulgi85	411674516	
EmilioMelgar	147133178	
Finance_NYC	55782127	
rdwhite49	25807332	
zinnaGo	208454442	
cjs10004	95360711	
IFAXnews	191337894	
SaeedBinShabib	262849586	
TVandenbosch	2838062	
drumstickmg	380958816	
prochangQ	206479533	
Unentugs	202573074	
jakartanewsnet	188809025	
thstngkvhqmf	141508270	
stephenboydstuc	231588449	
LibrareyBooks	416451588	
hide_tolucky	112373881	
finance_news	2382776	
an_du_	129925673	
laynecom	64335305	
yinolbu	130319667	
librarynu	158547759	
WomenParty	279113546	
reksadana	2695990	
Hugo_Kirara3500	126698716	
hk_eco	264531743	
EcoDesignGirl	277708310	
DrGreen156	269924023	
EMAlumni	7627191	
Hlth_Literacy	63917015	
dan_danjapanese	275941623	
titivistis	403545272	
hk_pol	264528354	
IWASHI77	251643946	
masha8jp0206	256624532	
kelissa	1415990	
Dochasnetwork	95476223	
hoshi_takanori	29951717	
noncyan1975	96549247	
s21121	263186032	
dmsgod123	267258753	
bauermode	181818607	
nyakuso	181620635	
nonun3	144682490	
cllitie	121448015	
hk_cul	264529989	
thoton	3575085	
fjhiro3	158278985	
hk_wor	269244330	
kyongwook	15012458	
quicknews_ko	85109515	
FxNedimVural	407031134	
southstep	29016288	
Artemis_Lynn	402635309	
fic39	252709462	
Ava546546546	416923116	
rudnf1208	285952066	
77bus	371416856	
nefosis	160860766	
jeesangkr	196607997	
finanstrend	169351393	
ek3906	391123295	
midokwan	184955724	
metadesignlab	363341469	
jypak73	413480182	
badromance65	123228204	
wingswolf	215610188	
dpaich	85818850	
jnjfilm	122888845	
gen_ROWDY	127531214	
linuxwin	103402035	
zen418	361742855	
stormylg	266507567	
Indonesia_kita	31742760	
minorwriter	109193190	
smokingman88	154798847	
ehanb	96589180	
mylee1452	391931013	
chefangusbutem	391571504	
swanbang	62025343	
SocialCaster	175457489	
rt2rt4	386536666	
hoodman55	271131345	
hyejo_on2	250976095	
LOL_orz	221376067	
twin0808	142818878	
searcherJ	33019084	
GIMSUHYEON	235541651	
Edgestorm	87425920	
chkfile	87434576	
SaschaNaz	402181776	
winterquenn	377137533	
N_siria	280781533	
DKJAS	392649847	
Claire_G_Kim	184618301	
syp12580	139359002	
jEdo_k	21341977	
r1256r	141315328	
SYKimMD	179653145	
tjrhddltks	412715923	
hye_si	210142505	
your_rights	108736993	
hk_spo	378584656	
ToneyHalverson	408164413	
ellenfweber	2322739	
PJ_Muncaster	2550595	
herbplantA	165912825	
EKaiserReuters	56833057	
ReutersEconAsia	351389990	
hairless_	113888260	
freema7	126801247	
krealmedia	187392879	
JackEHeron	238096132	
luvky001	411114708	
J_Martina12	278884110	
_karam	378876461	
lohasmate	226089827	
hankookilbo	110589253	
NewsIndo	121913948	
kimhyuna9	410194255	
ArtHarville	411048990	
indonesia_tweet	147193860	
Hurphist	24179434	
HoonYai	113362185	
sentosm_bot	406144516	
49_i	397712418	
ortson	105344199	
i88888888	152774149	
sinceremind	122517364	
amccausland	7687524	
50003773	408509706	
Tatusplateau	122873344	
2MBchifanlema	387844904	
aprealist	120581683	
chandra_ksm	22998562	
YusofAR	376060714	
creatingchange	448483	
xfmulder	250116314	
sammartino	56083	
automatedtrader	2360565	
rikokazu	156563169	
it0tada	125879343	
DracoTBastard	147385064	
Danjite	153364	
DieaRyu	408791274	
ocomet	203945	
pkedrosky	18121	
UOAdvDir	52657051	
milenkotomic	93200956	
Royal_Arse	224452246	
happyinmotion	80415394	
_cparra	277546780	
sevenjoy7	85922786	
EduardoVergaraB	34826820	
GregorMacdonald	12781	
lks7292	221359308	
letsktl	270963928	
neto378	14531178	
willspencer	280871	
News123china	275779285	
rheannethea	142984089	
abhish18	20766047	
cjh8093	292112943	
Anachy21	232739108	
Loupo85	196864752	
ramblerha	266033549	
noemizapata	67165870	
iouimu	252265043	
ethical_metal	363307701	
rkdmf1876	218865286	
adanao	38335242	
eighthdayweil	128645134	
viewnnews	110668071	
Progress_News	148763713	
ottoshin	103678073	
Chris_Sim_GD	287322260	
GJ_j24	97576110	
bumwees	368844933	
dada7070	253177017	
red_hardliner	64515409	
nadianadiuls	413819628	
imageswebsites	261503417	
hyungr	117802298	
SawadaKatsumi	46291402	
panasonic_cca	102844566	
shywKim	201609218	
Educhatter	52023011	
mhotl	204192729	
incredibleTB	114201550	
bot_yukio	119764653	
sssswwwwhh	90809876	
Natalie87879546	417867148	
hminkema	117274298	
jonghee1	30164737	
202712	131015606	
RAntoshak	5848384	
kourogokui	88450452	
copysokuho	411138711	
abobakr2010	91602544	
ReeguruJirubq	411159982	
yokamile	177769231	
amyjieun1	394778528	
UrmiAshar	227258904	
adamquinton	39900614	
tonyevans88	7300160	
Protoprise	188550506	
MarkGBeer	102491004	
ernestopriego	32362695	
BourbonC	236437344	
MGPSI	351139147	
DrSarahEaton	82220728	
feusl	65649	
OilHancho	417903695	
Ty_Duarte	384732244	
Gibraltar_Mike	284570483	
kskszk	10452057	
nzchook	1336773	
downstreamnews	352066536	
Oil_Trader	22132603	
Mr_Roshan	254946052	
anubeon	6224500	
FionaLinXY	376861117	
mylshop03	414005893	
claire_ob1	177148384	
mjsigol	223502401	
Neev_ie	226487146	
check_maff	269234783	
mikeglodo	69719998	
DougSaunders	6773176	
1stnj	161317061	
GerryCasey	166879084	
neoscw	406289146	
LG_ALEMAN	165440979	
clairestahl	396242460	
Swillytwit	382673306	
sashrimyname	413794097	
ljgalleta	386714192	
KRABAT44	233338851	
hanga93	155954810	
leewanta	189799412	
Hans_Zomer	94440069	
KnobOfTheDay_	375475647	
knuepck	93714499	
kimjbmr	400382236	
CSINowedu	168457071	
caserranom	229329067	
Satopon1980	207056855	
gamenewskr	127142532	
hyony095	384274286	
kohler1873	377686981	
azu0930	98498076	
McKinseySociety	406833730	
reikotaniguchi	81631232	
kubotch52	272470000	
maisels	121129554	
kimjjun77	393081059	
ppoyanum	398204395	
rodrigomorales_	79146699	
hasumin722	166262830	
hanbinism	114323304	
quiteblues	400198539	
ShiroKatsufuji	202456675	
my703__	292190591	
juho97	375573187	
takero_doi	111929802	
rbc_staff	104250768	
kimsrich	402126618	
ksshin1202	366899200	
2112n	395586170	
fivehand00	128662670	
Happyday0902	399092082	
kitbang8922	167186158	
skysurfr	6291037	
Tanmeyah	164423392	
PERFECTPRODUCTT	408625313	
khk915	270215137	
econoyong	136982526	
Carame1ize	206057495	
sjleelove	45981506	
sonjangsik	354772178	
Lyn0428	355742971	
jhlily	228824268	
milehigh_shin	129800901	
seostone1008	152150342	
feelikeyou	363304292	
a_tempofied	291677919	
tjworldo7	116345441	
ljs9609	262391736	
coreacom	127589998	
redzeta	111025088	
sunnie0913	260607164	
dongzang11	136091624	
beardious	370566284	
acornnut1	44136029	
hanijjang	96017504	
essayontime	122278898	
TechnologyAdv	285558484	
keb2ee	159449800	
Shadow7497John	403596965	
dante21net	178391590	
edmorrison	159565	
htadano	95034913	
rfrst	407611296	
kabusikisenmon	407939163	
Miel0329miel	159662945	
ffxfuelsave	371139778	
wan1210	83307728	
RuchiraC	358811718	
_Matsukou	412487513	
choimir	359742306	
kwonsujeong	352132719	
kuro091	78355466	
krml12	357563623	
ljhoung2339	231461179	
bjchina123	185987959	
gaLaYoung	403391669	
goolcoon	415041699	
Nasser_Saidi	27594552	
MrSchwenn	410369091	
AndyMarr63	123109028	
colinrtalbot	142004352	
colin_macneil	220420043	
iamminimom	397159794	
hangillo	391763441	
news_kor	125662777	
pearljh2	102240408	
limebyt	218743143	
auraooo	162469202	
Joseph_Maria	107924298	
H_Nobunaga	249127596	
nogwon	267381432	
danielanderss	265227527	
Hawkamah	265177559	
marisaBlack1	417258561	
BoreumO_O	194737339	
KorNews	16996269	
KorNewsSoc	17484823	
Meer_A_Spirit	381425461	
mushioda	91378831	
nahuelcleo	169373581	
calamur	121562	
MartinJDeane	86243983	
KentsNews	367863276	
ntsour	416090503	
ElementaryForce	401448251	
DocRichard	2091573	
social_kr	395061130	
youkio21	394202504	
gihyokim	406702055	
sungsohee92	245300531	
NOELA_KIM	242580791	
Besquid	139101792	
fpietrosanti	93734562	
_SJI	351793771	
freetonsky	117381279	
globaleaks	200314755	
MattCowgill	89063108	
jyukis	162346841	
shima_10shi	231564785	
riverboy86	220861925	
kimcr121	156046014	
Bernstein1932	403558106	
xbrl_ch	23134148	
NoPassaran_gr	281250378	
fremdgehen_hh	236417778	
__contagious__	89057842	
AnonOpsCN	236285455	
OpGFW	236608580	
askGemiza	414585526	
NohaMahmoud	29633146	
SherenJOR	228793051	
arrromat	82116728	
hamburggirls	220411532	
smhxxflying	80622270	
blacktiger2002	286041307	
soomin0204	152141965	
bknet	13172524	
PACALAURA	241980091	
mojito0	99665694	
unitororo	95251422	
swantoki	94204225	
younghyun55	265172474	
SH_Rheuterpe	417280021	
tulip926	364274908	
Jobcollege	10104848	
j1_news	50367230	
JerleneCulligan	407302829	
clione	8378899	
BgH57	273904129	
MayDay___	191320487	
digitaleartheu	219941055	
mohd_ali_rustam	45110140	
cingulardom	365711082	
kshikuya	492874	
catcatcat777	191533938	
kabutoyama_taro	116355187	
t_kato	55358	
n24v	378647116	
wanitoraion	152240295	
TeeHiro	82034434	
PeterisUrtans	37556228	
Fumitake_A	122308868	
rcofinof	1525425	
kinbricksnow	129857140	
Mfecane	94250381	
hirosetetsuo	186017939	
flashgoden	181069056	
mnaoto	63343193	
1lH	378658686	
overshootting	126768117	
sowoonya	407301876	
wcosmos50	185100946	
EulaMcnary	410384218	
ChildMoon18	407243596	
69_9	372260347	
syakai_nskbot	412221652	
RepublicOfOsaka	227315643	
yujifujitani	113850425	
supertoktok2	236029339	
Doublekabsic	145552707	
agrasyak	135329840	
toji_t	31442751	
Selbst_	283031015	
Philo_KyoungHee	99603424	
itogensan	175721112	
Nabiwahighhill	397697918	
cheleesb	144220202	
ohudong	120053207	
kackiee	8007143	
sophiajhlee	359521576	
paux2011	240751059	
mijubol	108835900	
RounD__	214663725	
pc2u	26857421	
bj1132	379538230	
