["ko", "125137432", "RT @Slacker_2nd: \ud55c\uad6d\uc5d0\uc120 '\uc8fd\uace0\uc2f6\ub2e4'\ub294 \ub9d0\uc744 \ud558\uba74 \ud798\ub4e0 \uc774\uc720\ub97c \ubb3c\uc5b4\ubcf4\uace0 \ub2e4\ub3c5\uc5ec\uc8fc\uae30\ubcf4\ub2e8 \ub300\ud654\ud558\uae30\ubcf4\ub2e8 \uc0b6\uc758 \uc758\uc695\ub9cc \ub354 \ub5a8\uc5b4\uc9c0\ub294 \uc18c\ub9ac\uac00 \ub418\ub3cc\uc544\uc624\ub294 \uacbd\uc6b0\uac00 \ub354 \ub9ce....\uc544\ub2c8, \ub300\ubd80\ubd84\uc778 \uac83 \uac19\ub2e4. \uad1c\ud788 OECD\uc790\uc0b4\ub960 1\ub4f1\uc774\uaca0\uc5b4. \uc608\ubc29\ub530\uc708 \uc5c6\ub2e4.", "Mon, 10 Oct 2011 17:18:26 +0000", "http://a2.twimg.com/profile_images/1576440863/DSC05440_normal.jpg", null, "&lt;a href=&quot;http://www.echofon.com/&quot; rel=&quot;nofollow&quot;&gt;Echofon&lt;/a&gt;", "123447308099661824", "HanelLee", 125137432, null, null, 123447308099661824, {"result_type": "recent"}]
["en", "363371838", "OECD Indicators Paint Dark Picture of Global Economy http://t.co/hVDKSk1l", "Mon, 10 Oct 2011 17:54:28 +0000", "http://a1.twimg.com/profile_images/1540066813/GDM_Avatar_5_normal.jpg", null, "&lt;a href=&quot;http://globaldairymarkets.com&quot; rel=&quot;nofollow&quot;&gt;globaldairymarkets.com&lt;/a&gt;", "123456376642080769", "GlobalDairyMkts", 363371838, null, null, 123456376642080769, {"result_type": "recent"}]
["en", "161312781", "OECD indicators paint dark picture of global economy \n    (Reuters) http://t.co/Z4gjblZC", "Mon, 10 Oct 2011 18:40:21 +0000", "http://a2.twimg.com/profile_images/1422982701/stocksmarket-newicon_normal.png", null, "&lt;a href=&quot;http://stocksmarket.in&quot; rel=&quot;nofollow&quot;&gt;StocksMarket&lt;/a&gt;", "123467923531632640", "stocksmarket_in", 161312781, null, null, 123467923531632640, {"result_type": "recent"}]
["en", "411867222", "RT @OECD: Long-term, youth unemployment on agenda @OECD LEED mtg on jobs creation, 13-14 Oct, Dublin http://t.co/hZB05hzp #qjdublin RT @pobal", "Mon, 10 Oct 2011 18:51:29 +0000", "http://a1.twimg.com/profile_images/1543781411/Pobal_Logo_normal.jpg", null, "&lt;a href=&quot;http://www.hootsuite.com&quot; rel=&quot;nofollow&quot;&gt;HootSuite&lt;/a&gt;", "123470725876166656", "pobal", 411867222, null, null, 123470725876166656, {"result_type": "recent"}]
["en", "218648074", "You should not overestimate BRIC.In 1979,OECD included Greece,Poltugal and Spain among NICs.", "Mon, 10 Oct 2011 18:52:00 +0000", "http://a3.twimg.com/profile_images/1382423475/_____________normal.jpg", null, "&lt;a href=&quot;http://twitter.com/&quot;&gt;web&lt;/a&gt;", "123470854649688064", "JapaneseLawScho", 218648074, null, null, 123470854649688064, {"result_type": "recent"}]
["th", "415521343", "RT @ChaoKuayIndY: &quot;\u0e1c\u0e39\u0e49\u0e0a\u0e32\u0e22\u0e40\u0e01\u0e32\u0e2b\u0e25\u0e35&quot; \u0e17\u0e33\u0e07\u0e32\u0e19\u0e1a\u0e49\u0e32\u0e19\u0e19\u0e49\u0e2d\u0e22\u0e17\u0e35\u0e48\u0e2a\u0e38\u0e14\u0e43\u0e19\u0e42\u0e25\u0e01 (\u0e44\u0e21\u0e48\u0e16\u0e36\u0e07\u0e0a\u0e31\u0e48\u0e27\u0e42\u0e21\u0e07\u0e15\u0e48\u0e2d\u0e27\u0e31\u0e19) \u0e1c\u0e25\u0e2a\u0e33\u0e23\u0e27\u0e08\u0e08\u0e32\u0e01 #OECD \u263a #ChaoKuayIndY", "Mon, 10 Oct 2011 18:55:08 +0000", "http://a0.twimg.com/profile_images/1563563052/profile_normal.jpg", null, "&lt;a href=&quot;http://www.tweetdeck.com&quot; rel=&quot;nofollow&quot;&gt;TweetDeck&lt;/a&gt;", "123471641580810241", "pjy1234_TH", 415521343, null, null, 123471641580810241, {"result_type": "recent"}]
["en", "20187215", "Tony Mackay giving opening remarks &amp; introducing Deputy Minister Henke at OECD Conference #ILE #abed #asba", "Mon, 10 Oct 2011 20:18:54 +0000", "http://a0.twimg.com/profile_images/1325742188/Ruth_2010_normal.jpg", null, "&lt;a href=&quot;http://twitter.com/#!/download/iphone&quot; rel=&quot;nofollow&quot;&gt;Twitter for iPhone&lt;/a&gt;", "123492725516546048", "wwjdr", 20187215, null, null, 123492725516546048, {"result_type": "recent"}]
["en", "416513805", "RT @KEMETCapacitors: KEMET to Participate in OECD Conflict Minerals Due Diligence Guidance Pilot Implementation http://t.co/zvwEKW8S", "Mon, 10 Oct 2011 20:31:26 +0000", "http://a1.twimg.com/profile_images/1508906843/3b87697_normal.jpg", null, "&lt;a href=&quot;http://www.hootsuite.com&quot; rel=&quot;nofollow&quot;&gt;HootSuite&lt;/a&gt;", "123495878232256513", "RickDPierson", 416513805, null, null, 123495878232256513, {"result_type": "recent"}]
["en", "386980755", "A view on 'Green Growth and Climate Change Policies in New Zealand' from the OECD 29 Sept 2011: http://t.co/RqCFsr2r", "Mon, 10 Oct 2011 20:49:37 +0000", "http://a2.twimg.com/profile_images/280110170/green_0338_n502561971_928191_8291_normal.jpg", null, "&lt;a href=&quot;http://twitter.com/&quot;&gt;web&lt;/a&gt;", "123500452716359680", "KiwiGreensUK", 386980755, null, null, 123500452716359680, {"result_type": "recent"}]
["en", "105903873", "KEMET to Participate in OECD Conflict Minerals Due Diligence Guidance Pilot Implementation: /PRNewswire/ - KEMET... http://t.co/BGKnOokJ", "Mon, 10 Oct 2011 21:15:46 +0000", "http://a2.twimg.com/profile_images/784786810/3bl-now_normal.gif", null, "&lt;a href=&quot;http://twitterfeed.com&quot; rel=&quot;nofollow&quot;&gt;twitterfeed&lt;/a&gt;", "123507033415749632", "3blnow", 105903873, null, null, 123507033415749632, {"result_type": "recent"}]
